brand,product_name,discounted_price,original_price,product_rating,num_ratings,discount_percentage,model_number
Carrier,"Carrier 2 Ton 5 Star Wi-Fi Smart Flexicool Inverter Split AC (Copper, Convertible 6-in-1 Cooling,Smart Energy Display,HD & PM 2.5 Filter, ESTER EDGE FXi (Wi-Fi), CAI24EE5R35W0,White)","55,990","₹55,990",Rating not found,410,500+ bought in past month,Model Number not found
Godrej,"Godrej 1.5 Ton 3 Star, 5 Years Comprehensive Warranty, 5-In-1 Convertible Cooling, Wood Finish, Inverter Split AC (Copper, 4 Way Air Swing, AC 1.5T SIC 18VTC3 WYB TK, Teak Wood)",Price not found,Price not found,Rating not found,56,400+ bought in past month,Model Number not found
Hitachi,"Hitachi 1 Ton Class 5 Star, 4-Way Swing, ice Clean, Xpandable+, Inverter Split AC (100% Copper, Dust Filter - 5400STXL RAS.G512PCBIBT, White)","38,499","₹38,499",Rating not found,21,400+ bought in past month,Model Number not found
Godrej,"Godrej 1.5 Ton 3 Star, 5 Years Comprehensive Warranty, 5-In-1 Convertible Cooling, Inverter Split AC (Copper, 2025 Model, Heavy duty cooling at 52 °C, AC1.5T EI 18P3T WZT 3S, White)","32,490","₹32,490",Rating not found,651,1K+ bought in past month,Model Number not found
VICARI-Portable-Air-Conditioner-Small-Ac-Quaite-Personal-Air-cooler-Usb-Power-Mini-Desktop-Cooling-Misting-fan-1/2/3-Timer-With-speed-360-Adjustable-For-Office-Room-Desk-And-Car-(Multi-color),VICARI-Portable-Air-Conditioner-Small-Ac-Quaite-Personal-Air-cooler-Usb-Power-Mini-Desktop-Cooling-Misting-fan-1/2/3-Timer-With-speed-360-Adjustable-For-Office-Room-Desk-And-Car-(Multi-color),693,₹693,Rating not found,153,2K+ bought in past month,Model Number not found
Voltas,"Voltas 1.5 ton 5 Star, Inverter Split AC (Copper, 4-in-1 Adjustable Mode, Anti-dust Filter, 185V Vectra CAR, White)","42,890","₹42,890",Rating not found,"2,039",1K+ bought in past month,Model Number not found
Carrier,"Carrier 1.5 Ton 5 Star Wi-Fi Smart Flexicool Inverter Split AC (Copper, Convertible 6-in-1 Cooling,Smart Energy Display,HD & PM 2.5 Filter, ESTER EDGE FXi (Wi-Fi), CAI19EE5R35W0,White)","42,990","₹42,990",Rating not found,"1,842",2K+ bought in past month,Model Number not found
Godrej,"Godrej 1 Ton 3 Star, 5 Years Comprehensive Warranty, 5-In-1 Convertible Cooling, Inverter Split AC (Copper, I-Sense Technology, AC 1T EI 12TINV3R32-GWA Split, White)","28,990","₹28,990",Rating not found,975,500+ bought in past month,Model Number not found
Samsung,"Samsung 1 Ton 3 Star Digital Inverter Split AC (Faster & Powerful Cooling even at 58 Degree C, 100% Copper, 5 year comprehensive warranty, 5 Step Convertible, AR50F12D0LHNNA, White)","31,990","₹31,990",Rating not found,"1,361",600+ bought in past month,Model Number not found
Godrej,"Godrej 1.5 Ton 5 Star, 5 Years Comprehensive Warranty, 5-In-1 Convertible Cooling, Inverter Split AC (Copper, 2025 Model, Heavy duty cooling at 52 °C, AC 1.5T EI 18II5T WZS Split 5S, White)","38,490","₹38,490",Rating not found,"1,574",1K+ bought in past month,Model Number not found
Daikin,"Daikin 1.5 Ton 5 Star Inverter Split AC (Copper, PM 2.5 Filter, MTKM50U, White)","45,990","₹45,990",Rating not found,"2,768",2K+ bought in past month,Model Number not found
Whirlpool,"Whirlpool 1.0 Ton 3 Star, Magicool Inverter Split AC (MAGICOOL 10T 3S INV CNV S5K1PP0, Copper, Convertible 4-in-1 Cooling Mode, HD Filter White)","29,990","₹29,990",Rating not found,"1,221",Sponsored,Model Number not found
Carrier,"Carrier 1.5 Ton 3 Star Wi-Fi Smart Flexicool Inverter Split AC (Copper, Convertible 6-in-1 Cooling,Smart Energy Display, HD & PM 2.5 Filter, ESTER EDGE FXi (Wi-Fi), CAI18EE3R35W0,White)","35,990","₹35,990",Rating not found,"1,938",Sponsored,Model Number not found
Name,Name not found,"37,690","₹37,690",Rating not found,"1,039",Sponsored,Model Number not found
Name,Name not found,Price not found,Price not found,Rating not found,Number of ratings not found,No discount,Model Number not found
Name,Name not found,"37,690","₹37,690",Rating not found,"1,039",Sponsored,Model Number not found
Name,Name not found,Price not found,Price not found,Rating not found,Number of ratings not found,No discount,Model Number not found
Name,Name not found,Price not found,Price not found,Rating not found,Number of ratings not found,No discount,Model Number not found
